Variable	Table	SourceTermID	SourceTerm	MappedTermLabel	MappedTermIRI	MappingScore	Ontology	Comments
OHX26CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26CTC	Coronal Caries: Tooth count #26	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX26DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26DI	Fluorosis DI: #26	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX26TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26TC	Tooth Count: #26	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.63	NCIT	
OHX26TR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX26TR	Incisor Trauma: #26	Traumatized incisor (disorder)	http://snomed.info/id/404199004	0.66	SNOMED	
OHX27CSC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27CSC	Coronal Caries: Surface condition #27	Conditional	http://purl.obolibrary.org/obo/NCIT_C63905	0.58	NCIT	
OHX27CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27CTC	Coronal Caries: Tooth count #27	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX27DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27DI	Fluorosis DI: #27	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX27TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX27TC	Tooth Count: #27	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.62	NCIT	
OHX28CSC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28CSC	Coronal Caries: Surface condition #28	Conditional	http://purl.obolibrary.org/obo/NCIT_C63905	0.59	NCIT	
OHX28CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28CTC	Coronal Caries: Tooth count #28	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX28DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28DI	Fluorosis DI: #28	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX28SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28SE	Dental Sealants: #28	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.62	NCIT	
OHX28TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX28TC	Tooth Count: #28	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.63	NCIT	
OHX29CSC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29CSC	Coronal Caries: Surface condition #29	Conditional	http://purl.obolibrary.org/obo/NCIT_C63905	0.58	NCIT	
OHX29CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29CTC	Coronal Caries: Tooth count #29	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX29DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29DI	Fluorosis DI: #29	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX29SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29SE	Dental Sealants: #29	Sealant	http://purl.obolibrary.org/obo/NCIT_C52587	0.62	NCIT	
OHX29TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX29TC	Tooth Count: #29	Tooth	http://purl.obolibrary.org/obo/NCIT_C12506	0.62	NCIT	
OHX30CSC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30CSC	Coronal Caries: Surface condition #30	Conditional	http://purl.obolibrary.org/obo/NCIT_C63905	0.6	NCIT	
OHX30CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30CTC	Coronal Caries: Tooth count #30	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.45	OHD	
OHX30DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30DI	Fluorosis DI: #30	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.83	NCIT	
OHX30SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30SE	Dental Sealants: #30	Sealant Dosage Form	http://purl.obolibrary.org/obo/NCIT_C149892	0.65	NCIT	
OHX30TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX30TC	Tooth Count: #30	Tooth 30	http://purl.obolibrary.org/obo/NCIT_C52667	0.81	NCIT	
OHX31CSC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31CSC	Coronal Caries: Surface condition #31	Conditional	http://purl.obolibrary.org/obo/NCIT_C63905	0.59	NCIT	
OHX31CTC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31CTC	Coronal Caries: Tooth count #31	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.43	OHD	
OHX31DI	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31DI	Fluorosis DI: #31	Dental Fluorosis	http://purl.obolibrary.org/obo/NCIT_C85059	0.79	NCIT	
OHX31SE	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31SE	Dental Sealants: #31	Sealant Dosage Form	http://purl.obolibrary.org/obo/NCIT_C149892	0.62	NCIT	
OHX31TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX31TC	Tooth Count: #31	Tooth 31	http://purl.obolibrary.org/obo/NCIT_C94585	0.84	NCIT	
OHX32TC	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHX32TC	Tooth Count: #32	Tooth 32	http://purl.obolibrary.org/obo/NCIT_C94586	0.85	NCIT	
OHXEDEN	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXEDEN	Edentulous-yes	Edentulous	http://purl.obolibrary.org/obo/NCIT_C63746	0.92	NCIT	
OHXIMP	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXIMP	Dental Implant: yes / no	Dental Implant	http://purl.obolibrary.org/obo/NCIT_C63718	0.84	NCIT	
OHXRCAR	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXRCAR	Root Caries: yes / no	dental caries	http://purl.obolibrary.org/obo/OHD_0000031	0.52	OHD	
OHXRRES	OHXDEN_C	https://wwwn.cdc.gov/nchs/nhanes/2003-2004/OHXDEN_C.htm#OHXRRES	Root restorations: yes / no	Root	http://purl.obolibrary.org/obo/NCIT_C79664	0.52	NCIT	
